Capabilities,Domain,Skill,Tactic,Technique,SUB-Technique,Windows,Linux,Cloud,MAC OS,Beginner,Intermediate,Expert,Ninja,Reference,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Org Information T1591,Identify Roles T1591.004,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1591/004/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Phishing for Information T1598,Spearphishing Service T1598.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1598/001/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Phishing for Information T1598,Spearphishing Attachment T1598.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1598/002/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Phishing for Information T1598,Spearphishing Link T1598.003,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1598/003/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Search Closed Sources T1597,Threat Intel Vendors T1597.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1597/001/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Search Closed Sources T1597,Purchase Technical Data T1597.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1597/002/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Search Open Technical Databases T1596,DNSPassive DNS T1596.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1596/001/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Search Open Technical Databases T1596,WHOIS T1596.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1596/002/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Search Open Technical Databases T1596,Digital Certificates T1596.003,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1596/003/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Search Open Technical Databases T1596,CDNs T1596.004,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1596/004/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Search Open Technical Databases T1596,Scan Databases T1596.005,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1596/005/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Search Open Websites/Domains 1593,Social Media T1593.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1593/001/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Search Open Websites/Domains 1593,Search Engines T1593.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1593/002/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Search Victim-Owned Websites T1594,No sub-technique,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1594/,
Predict,Security Assesment,General Pentesting,Resource Development,Acquire Infrastructure T1583,Domains T1583.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1583/001/,
Predict,Security Assesment,General Pentesting,Resource Development,Acquire Infrastructure T1583,DNS Server T1583.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1583/002/,
Predict,Security Assesment,General Pentesting,Resource Development,Acquire Infrastructure T1583,Virtual Private Server T1583.003,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1583/003/,
Predict,Security Assesment,General Pentesting,Resource Development,Acquire Infrastructure T1583,Server T1583.004,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1583/004/,
Predict,Security Assesment,General Pentesting,Resource Development,Acquire Infrastructure T1583,Botnet T1583.005,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1583/005/,
Predict,Security Assesment,General Pentesting,Resource Development,Acquire Infrastructure T1583,Web Services T1583.006,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1583/006/,
Predict,Security Assesment,General Pentesting,Resource Development,Compromise Accounts T1586,Social Media Accounts T1586.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1586/001/,
Predict,Security Assesment,General Pentesting,Resource Development,Compromise Accounts T1586,Email Accounts T1586.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1586/002/,
Predict,Security Assesment,General Pentesting,Resource Development,Compromise Infrastructure T1584,Domains T1584.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1584/001/,
Predict,Security Assesment,General Pentesting,Resource Development,Compromise Infrastructure T1584,DNS Server T1584.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1584/002/,
Predict,Security Assesment,General Pentesting,Resource Development,Compromise Infrastructure T1584,Virtual Private Server T1584.003,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1584/003/,
Predict,Security Assesment,General Pentesting,Resource Development,Compromise Infrastructure T1584,Server T1584.004,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1584/004/,
Predict,Security Assesment,General Pentesting,Resource Development,Compromise Infrastructure T1584,Botnet T1584.005,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1584/005/,
Predict,Security Assesment,General Pentesting,Resource Development,Compromise Infrastructure T1584,Web Services T1584.006,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1584/006/,
Predict,Security Assesment,General Pentesting,Resource Development,Develop Capabilities T1587,Malware T1587.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1587/001/,
Predict,Security Assesment,General Pentesting,Resource Development,Develop Capabilities T1587,Code Signing Certificates T1587.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1587/002/,
Predict,Security Assesment,General Pentesting,Resource Development,Develop Capabilities T1587,Digital Certificates T1587.003,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1587/003/,
Predict,Security Assesment,General Pentesting,Resource Development,Develop Capabilities T1587,Exploits T1587.004,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1587/004/,
Predict,Security Assesment,General Pentesting,Resource Development,Establish Accounts T1585,Social Media Accounts T1585.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1585/001/,
Predict,Security Assesment,General Pentesting,Resource Development,Establish Accounts T1585,Email Accounts T1585.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1585/002/,
Predict,Security Assesment,General Pentesting,Resource Development,Obtain Capabilities T1588,Malware T1588.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1588/001/,
Predict,Security Assesment,General Pentesting,Resource Development,Obtain Capabilities T1588,Tool T1588.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1588/002/,
Predict,Security Assesment,General Pentesting,Resource Development,Obtain Capabilities T1588,Code Signing Certificates T1588.003,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1588/003/,
Predict,Security Assesment,General Pentesting,Resource Development,Obtain Capabilities T1588,Digital Certificates T1588.004,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1588/004/,
Predict,Security Assesment,General Pentesting,Resource Development,Obtain Capabilities T1588,Exploits T1588.005,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1588/005/,
Predict,Security Assesment,General Pentesting,Resource Development,Obtain Capabilities T1588,Vulnerabilities T1588.006,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1588/006/,
Predict,Security Assesment,General Pentesting,Resource Development,Stage Capabilities T1608,Upload Malware T1608.001,,,,,,,,,https://attack.mitre.org/techniques/T1608/001/,
Predict,Security Assesment,General Pentesting,Resource Development,Stage Capabilities T1608,Upload Tool T1608.002,,,,,,,,,https://attack.mitre.org/techniques/T1608/002/,
Predict,Security Assesment,General Pentesting,Resource Development,Stage Capabilities T1608,Install Digital Certificate T1608.003,,,,,,,,,https://attack.mitre.org/techniques/T1608/003/,
Predict,Security Assesment,General Pentesting,Resource Development,Stage Capabilities T1608,Drive-by Target T1608.004,,,,,,,,,https://attack.mitre.org/techniques/T1608/004/,
Predict,Security Assesment,General Pentesting,Resource Development,Stage Capabilities T1608,Link Target T1608.005,,,,,,,,,https://attack.mitre.org/techniques/T1608/005/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Drive-by Compromise-T1189,No sub-technique,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1189/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Exploit Public-Facing Application-T1190,No sub-technique,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1190/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,External Remote Services-T1133,No sub-technique,1,1,0,0,,,,,https://attack.mitre.org/techniques/T1133/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Hardware Additions-T1200,No sub-technique,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1200/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Phishing-T1566,Spearphishing Attachment-T1566.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1566/001/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Phishing-T1566,Spearphishing Link-T1566.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1566/002/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Phishing-T1566,Spearphishing via Service-T1566.003,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1566/003/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Replication Through Removable Media-T1091,No sub-technique,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1091/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Supply Chain Compromise-T1195,Compromise Software Dependencies and Development Tools-T1195.001,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1195/001/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Supply Chain Compromise-T1195,Compromise Software Supply Chain-T1195.002,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1195/002/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Supply Chain Compromise-T1195,Compromise Hardware Supply Chain-T1195.003,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1195/003/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Trusted Relationship-T1199,No sub-technique,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1199/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Valid Accounts-T1078,Default Accounts-T1078.001,,,,,,,,,https://attack.mitre.org/techniques/T1078/001/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Valid Accounts-T1078,Domain Accounts-T1078.002,,,,,,,,,https://attack.mitre.org/techniques/T1078/002/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Valid Accounts-T1078,Local Accounts-T1078.003,,,,,,,,,https://attack.mitre.org/techniques/T1078/003/,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Valid Accounts-T1078,Cloud Accounts-T1078.004,,,,,,,,,https://attack.mitre.org/techniques/T1078/004/,
Predict,Security Assesment,OS Penetration Testing,Execution,Command and Scripting Interpreter-T1059,PowerShell-T1059.001,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1059/001/,
Predict,Security Assesment,OS Penetration Testing,Execution,Command and Scripting Interpreter-T1059,AppleScript-T1059.002,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1059/002/,
Predict,Security Assesment,OS Penetration Testing,Execution,Command and Scripting Interpreter-T1059,windows Command Shell T1059.003,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1059/003/,
Predict,Security Assesment,OS Penetration Testing,Execution,Command and Scripting Interpreter-T1059,Unix Shell-T1059.004,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1059/004/,
Predict,Security Assesment,OS Penetration Testing,Execution,Command and Scripting Interpreter-T1059,Visual Basic-T1059.005,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1059/005/,
Predict,Security Assesment,OS Penetration Testing,Execution,Command and Scripting Interpreter-T1059,Python-T1059.006,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1059/006/,
Predict,Security Assesment,OS Penetration Testing,Execution,Command and Scripting Interpreter-T1059,JavaScrip/JScript-T1059.007,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1059/007/,
Predict,Security Assesment,OS Penetration Testing,Execution,Command and Scripting Interpreter-T1059,Network Device Cli 1059.008,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1059/008/,
Predict,Security Assesment,OS Penetration Testing,Execution,Exploitation for Client Execution-T1203,No sub-technique,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1203/,
Predict,Security Assesment,OS Penetration Testing,Execution,Inter-Process Communication-T1559,Component Object Model-T1559.001,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1559/001/,
Predict,Security Assesment,OS Penetration Testing,Execution,Inter-Process Communication-T1559,"Dynamic Data Exchange-T1559.002        (B,I,E)",1,0,0,0,,,,,https://attack.mitre.org/techniques/T1559/002/,
Predict,Security Assesment,OS Penetration Testing,Execution,Native API-T1106,No sub-technique,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1106/,
Predict,Security Assesment,OS Penetration Testing,Execution,Scheduled Task/Job-T1053,At (Linux)-T1053.001,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1053/001/ ,
Predict,Security Assesment,OS Penetration Testing,Execution,Scheduled Task/Job-T1053,At (Windows)-T1053.002,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1053/002/ ,
Predict,Security Assesment,OS Penetration Testing,Execution,Scheduled Task/Job-T1053,Cron-T1053.003,0,1,0,0,,,,,https://attack.mitre.org/techniques/T1053/003/ ,
Predict,Security Assesment,OS Penetration Testing,Execution,Scheduled Task/Job-T1053,Scheduled Task-T1053.005,0,0,0,1,,,,,https://attack.mitre.org/techniques/T1053/005/ ,
Predict,Security Assesment,OS Penetration Testing,Execution,Scheduled Task/Job-T1053,Systemd Timers T1053.006,0,1,0,1,,,,,https://attack.mitre.org/techniques/T1053/006/ ,
Predict,Security Assesment,OS Penetration Testing,Execution,Scheduled Task/Job-T1053,Container Orchestration Job T1053.007,0,1,0,0,,,,,https://attack.mitre.org/techniques/T1053/007/ ,
Predict,Security Assesment,OS Penetration Testing,Execution,Shared Modules-T1129,No sub-technique,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1129/,
Predict,Security Assesment,OS Penetration Testing,Execution,Software Deployment Tools-T1072,No sub-technique,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1072/,
Predict,Security Assesment,OS Penetration Testing,Execution,System Services-T1569,Launchctl-T1569.001,0,0,0,1,,,,,https://attack.mitre.org/techniques/T1569/001/,
Predict,Security Assesment,OS Penetration Testing,Execution,System Services-T1569,Service Execution-T1569.002,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1569/002/,
Predict,Security Assesment,OS Penetration Testing,Execution,User Execution-T1204,Malicious Link-T1204.001,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1204/001/,
Predict,Security Assesment,OS Penetration Testing,Execution,User Execution-T1204,Malicious File-T1204.002,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1204/002/,
Predict,Security Assesment,OS Penetration Testing,Execution,User Execution-T1204,Malicious Image T1204.003,,,,,,,,,https://attack.mitre.org/techniques/T1204/003/,
Predict,Security Assesment,OS Penetration Testing,Execution,Windows Management Instrumentation-T1047,No sub-technique,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1047/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Account Manipulation-T1098,Additional Cloud Credentials T1098.001,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1098/001/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Account Manipulation-T1098,Exchange Email Delegate Permissions-T1098.002,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1098/002/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Account Manipulation-T1098,Add Office 365 Global Administrator Role T1098.003,0,1,0,1,,,,,https://attack.mitre.org/techniques/T1098/003/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Account Manipulation-T1098,SSH Authorized Keys-T1098.004,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1098/004/,
Predict,Security Assesment,OS Penetration Testing,Persistence,BITS Jobs-T1197,No sub-technique,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1197/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Registry Run Keys & Startup Folder-T1547.001,1,,,,,,,,https://attack.mitre.org/techniques/T1547/001/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Authentication Package-T1547.002,1,,,,,,,,https://attack.mitre.org/techniques/T1547/002/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Time Providers-T1547.003,1,,,,,,,,https://attack.mitre.org/techniques/T1547/003/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Winlogon Helper DLL-T1547.004,1,,,,,,,,https://attack.mitre.org/techniques/T1547/004/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Security Support Provider-T1547.005,1,,,,,,,,https://attack.mitre.org/techniques/T1547/005/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Kernel Modules and Extensions-T1547.006,,1,,1,,,,,https://attack.mitre.org/techniques/T1547/006/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Re-opened Applications-T1547.007,,,,1,,,,,https://attack.mitre.org/techniques/T1547/007/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,LSASS Driver-T1547.008,1,,,,,,,,https://attack.mitre.org/techniques/T1547/008/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Shortcut Modification-T1547.009,1,,,,,,,,https://attack.mitre.org/techniques/T1547/009/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Port Monitors-T1547.010,1,,,,,,,,https://attack.mitre.org/techniques/T1547/010/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Plist Modification-T1547.011,,,,1,,,,,https://attack.mitre.org/techniques/T1547/011/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Print Processors T1547.012,1,,,,,,,,https://attack.mitre.org/techniques/T1547/012/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,XDG Autostart Entries T1547.013,,,,,,,,,https://attack.mitre.org/techniques/T1547/013/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Active Setup T1547.014,,,,,,,,,https://attack.mitre.org/techniques/T1547/014/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Login Items T1547.015,,,,,,,,,https://attack.mitre.org/techniques/T1547/015/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Initialization Scripts-T1037,Logon Script (Windows) T1037.001,1,,,,,,,,https://attack.mitre.org/techniques/T1037/001/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Initialization Scripts-T1037,Logon Script (Mac) T1037.002,,,,1,,,,,https://attack.mitre.org/techniques/T1037/002/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Initialization Scripts-T1037,Network Logon Script T1037.003,1,,,,,,,,https://attack.mitre.org/techniques/T1037/003/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Initialization Scripts-T1037,RC Scripts  T1037.004,,,,1,,,,,https://attack.mitre.org/techniques/T1037/004/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Initialization Scripts-T1037,Startup Items   T1037.005,,,,1,,,,,https://attack.mitre.org/techniques/T1037/005/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Browser Extensions-T1176,No sub-technique,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1176/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Compromise Client Software Binary-T1554,No sub-technique,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1554/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Create Account-T1136,Local Account-T1136.001,1,1,,1,,,,,https://attack.mitre.org/techniques/T1136/001/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Create Account-T1136,Domain Account-T1136.002,1,1,0,1,,,,,https://attack.mitre.org/techniques/T1136/002/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Create Account-T1136,Cloud Account-T1136.003,0,0,1,0,,,,,https://attack.mitre.org/techniques/T1136/003/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Create or Modify System Process-T1543,Launch Agent-T1543.001,,,,1,,,,,https://attack.mitre.org/techniques/T1543/001/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Create or Modify System Process-T1543,Systemd Service-T1543.002,,1,,,,,,,https://attack.mitre.org/techniques/T1543/002/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Create or Modify System Process-T1543,Windows Service-T1543.003,1,,,,,,,,https://attack.mitre.org/techniques/T1543/003/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Create or Modify System Process-T1543,Launch Daemon-T1543.004,,,,1,,,,,https://attack.mitre.org/techniques/T1543/004/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Change Default File Association-T1546.001,,,,,,,,,https://attack.mitre.org/techniques/T1546/001/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Screensaver-T1546.002,,,,,,,,,https://attack.mitre.org/techniques/T1546/002/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Windows Management Instrumentation Event Subscription T1546.003,,,,,,,,,https://attack.mitre.org/techniques/T1546/003/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Unix Shell Configuration Modification T1546.004,,,,,,,,,https://attack.mitre.org/techniques/T1546/004/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Trap-T1546.005,,,,,,,,,https://attack.mitre.org/techniques/T1546/005/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,LC_LOAD_DYLIB Addition-T1546.006,,,,,,,,,https://attack.mitre.org/techniques/T1546/006/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Netsh Helper DLL-T1546.007,,,,,,,,,https://attack.mitre.org/techniques/T1546/007/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Accessibility Features-T1546.008,,,,,,,,,https://attack.mitre.org/techniques/T1546/008/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,AppCert DLLs-T1546.009,,,,,,,,,https://attack.mitre.org/techniques/T1546/009/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,AppInit DLLs-T1546.010,,,,,,,,,https://attack.mitre.org/techniques/T1546/010/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Application Shimming-T1546.011,,,,,,,,,https://attack.mitre.org/techniques/T1546/011/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Image File Execution Options Injection T1546.012,,,,,,,,,https://attack.mitre.org/techniques/T1546/012/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,PowerShell Profile-T1546.013,,,,,,,,,https://attack.mitre.org/techniques/T1546/013/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Emond-T1546.014,,,,,,,,,https://attack.mitre.org/techniques/T1546/014/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Component Object Model Hijacking-T1546.015,,,,,,,,,https://attack.mitre.org/techniques/T1546/015/,
Predict,Security Assesment,OS Penetration Testing,Persistence,External Remote Services-T1133,No sub-technique,,,,,,,,,https://attack.mitre.org/techniques/T1133/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Hijaking Execution FLow T1574,DLL Search Order Hijacking T1574.001,,,,,,,,,https://attack.mitre.org/techniques/T1574/001/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Hijaking Execution FLow T1574,DLL Side-Loading T1574.002,,,,,,,,,https://attack.mitre.org/techniques/T1574/002/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Hijaking Execution FLow T1574,Dylib Hijacking T1574.004,,,,,,,,,https://attack.mitre.org/techniques/T1574/004/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Hijaking Execution FLow T1574,Executable Installer File Permissions Weakness T1574.005,,,,,,,,,https://attack.mitre.org/techniques/T1574/005/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Hijaking Execution FLow T1574,Dynamic Linker Hijacking T1574.006,,,,,,,,,https://attack.mitre.org/techniques/T1574/006/,
