Capabilities,Domain,Skill,Tactic,Technique,SUB-Technique,Windows,Linux,Cloud,MAC OS,Beginner,Intermediate,Expert,Ninja,Reference,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Event Triggered Execution-T1546,Screensaver-T1546.002,,,,,,,,,https://attack.mitre.org/techniques/T1546/002/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Event Triggered Execution-T1546,Netsh Helper DLL-T1546.007,,,,,,,,,https://attack.mitre.org/techniques/T1546/007/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Event Triggered Execution-T1546,Image File Execution Options Injection T1546.012,,,,,,,,,https://attack.mitre.org/techniques/T1546/012/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Event Triggered Execution-T1546,PowerShell Profile-T1546.013,,,,,,,,,https://attack.mitre.org/techniques/T1546/013/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Event Triggered Execution-T1546,Component Object Model Hijacking-T1546.015,,,,,,,,,https://attack.mitre.org/techniques/T1546/015/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Exploitation for Privilege Escalation-T1068,No sub-technique,,,,,,,,,https://attack.mitre.org/techniques/T1068/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Hijaking Execution FLow T1574,Executable Installer File Permissions Weakness T1574.005,,,,,,,,,https://attack.mitre.org/techniques/T1574/005/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Hijaking Execution FLow T1574,Path Interception by Unquoted Path T1574.009,,,,,,,,,https://attack.mitre.org/techniques/T1574/009/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Process Injection T1055,Extra Window Memory Injection T1055.011,,,,,,,,,https://attack.mitre.org/techniques/T1055/011/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Scheduled Task/Job-T1053,At (Windows)-T1053.002,,,,,,,,,https://attack.mitre.org/techniques/T1053/002/ ,
,Security Assesment,OS Penetration Testing,Defense Evasion,Abuse Elevation Control Mechanism T-1548,Bypass User Account Control T1548.002,,,,,,,,,https://attack.mitre.org/techniques/T1548/002/               ,
,Security Assesment,OS Penetration Testing,Defense Evasion,Access Token Manipulation-T1134,Token Impersonation/Theft T1134.001,,,,,,,,,https://attack.mitre.org/techniques/T1134/001/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Bits Jobs T-1197,No sub-technique,,,,,,,,,https://attack.mitre.org/techniques/T1197/,
,Security Assesment,OS Penetration Testing,Defense Evasion,"Deobfuscate, Decode Files or Information T1140",No sub-technique,,,,,,,,,https://attack.mitre.org/techniques/T1140/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Hijaking Execution FLow T1574,Executable Installer File Permissions Weakness T1574.005,,,,,,,,,https://attack.mitre.org/techniques/T1574/005/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Hijaking Execution FLow T1574,Path Interception by Unquoted Path T1574.009,,,,,,,,,https://attack.mitre.org/techniques/T1574/009/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Obfuscated Files or Information T1027,Binary Padding T1027.001,,,,,,,,,https://attack.mitre.org/techniques/T1027/001/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Obfuscated Files or Information T1027,Compile After Delivery 1027.004,,,,,,,,,https://attack.mitre.org/techniques/T1027/004/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Process Injection T1055,Extra Window Memory Injection T1055.011,,,,,,,,,https://attack.mitre.org/techniques/T1055/011/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Signed Binary Proxy Execution T-1218,"Compiled HTML FIle T1218.001    (B,M,E)",,,,,,,,,https://attack.mitre.org/techniques/T1218/001/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Signed Binary Proxy Execution T-1218,Control Panel T1218.002,,,,,,,,,https://attack.mitre.org/techniques/T1218/002/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Signed Binary Proxy Execution T-1218,"CMSTP T1218.003    (B,M)",,,,,,,,,https://attack.mitre.org/techniques/T1218/003/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Signed Binary Proxy Execution T-1218,InstallUtil T1218.004,,,,,,,,,https://attack.mitre.org/techniques/T1218/004/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Signed Binary Proxy Execution T-1218,Mshta T1218.005,,,,,,,,,https://attack.mitre.org/techniques/T1218/005/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Signed Binary Proxy Execution T-1218,Regsvr32 T1218.010,,,,,,,,,https://attack.mitre.org/techniques/T1218/010/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Signed Binary Proxy Execution T-1218,"Rundll32 T1218.011      (B,M,E)",,,,,,,,,https://attack.mitre.org/techniques/T1218/011/,
,Security Assesment,OS Penetration Testing,Defense Evasion,Signed Script Proxy Execution T1216,Pubpen 1216.001,,,,,,,,,https://attack.mitre.org/techniques/T1216/001,
,Security Assesment,OS Penetration Testing,Defense Evasion,Trusted Developer Utilities Proxy Execution T1127,MSBuild T1127.001,,,,,,,,,https://attack.mitre.org/techniques/T1127/001/,
,Security Assesment,OS Penetration Testing,Defense Evasion,XSL Script Processing -E-45 T1220,No sub-technique,,,,,,,,,https://attack.mitre.org/techniques/T1220/,
